Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,51.60,51.60
Non Wetland,1273.12,1273.12
Wetland - Medium Probability,0.82,0.23
Wetland - High Probability,0.00,0.00
Wetland - Low Probability,0.08,0.67
