Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.94,0.94
Non Wetland,783.40,783.40
Wetland - Medium Probability,21.75,27.96
Wetland - High Probability,5.46,10.70
Wetland - Low Probability,38.60,27.16
