Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,18.95,19.04
Non Wetland,690.36,690.36
Wetland - Medium Probability,2.87,4.20
Wetland - High Probability,6.67,6.68
Wetland - Low Probability,8.00,6.57
