Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,779.86,779.91
Non Wetland,747.79,747.79
Wetland - Medium Probability,59.27,85.71
Wetland - High Probability,36.26,48.47
Wetland - Low Probability,128.76,90.06
