Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.00882002734209
Non Wetland,0.0,-0.00205813481193
Wetland - Medium Probability,0.0,-36.7247694186
Wetland - High Probability,0.0,-138.456593116
Wetland - Low Probability,0.0,33.4926978488
