Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,2223.72,2223.72
Non Wetland,1690.41,1690.41
Wetland - Medium Probability,64.21,83.14
Wetland - High Probability,14.19,30.67
Wetland - Low Probability,85.54,50.12
