Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,841.08,841.08
Wetland - Medium Probability,0.98,1.63
Wetland - High Probability,0.29,0.46
Wetland - Low Probability,3.02,2.20
