Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00165452247173
Wetland - Medium Probability,0.0,-65.500378413
Wetland - High Probability,0.0,-317.5
Wetland - Low Probability,0.0,35.3559600134
