Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00647822237579
Wetland - Medium Probability,0.0,17.9590155494
Wetland - High Probability,0.0,-89.2857142857
Wetland - Low Probability,0.0,12.2264150943
