Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.0299647913701
Wetland - Medium Probability,0.0,6.02671299815
Wetland - High Probability,0.0,-14.8444863336
Wetland - Low Probability,0.0,1.17274539697
