Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,7247.59,7247.59
Non Wetland,317.61,317.61
Wetland - Medium Probability,83.63,70.63
Wetland - High Probability,25.94,54.70
Wetland - Low Probability,45.16,29.40
