Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-62.6985954409
Wetland - High Probability,0.0,-201.204819277
Wetland - Low Probability,0.0,29.0569780022
