Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,60.34,60.34
Non Wetland,1447.19,1447.19
Wetland - Medium Probability,121.65,157.68
Wetland - High Probability,61.99,94.47
Wetland - Low Probability,166.48,97.97
