Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,60.21,60.22
Non Wetland,4378.81,4378.81
Wetland - Medium Probability,102.90,133.54
Wetland - High Probability,24.86,44.10
Wetland - Low Probability,157.52,107.63
