Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,3381.20,3381.20
Wetland - Medium Probability,43.43,70.66
Wetland - High Probability,2.49,7.50
Wetland - Low Probability,110.92,78.69
