Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,26.72,26.72
Non Wetland,3970.87,3970.87
Wetland - Medium Probability,144.11,160.18
Wetland - High Probability,45.98,79.53
Wetland - Low Probability,175.43,125.81
