Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.02,0.02
Non Wetland,653.05,653.05
Wetland - Medium Probability,8.22,18.45
Wetland - High Probability,0.08,0.74
Wetland - Low Probability,38.72,27.83
