Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,105.85,105.86
Non Wetland,1246.36,1246.36
Wetland - Medium Probability,101.31,145.62
Wetland - High Probability,13.69,27.45
Wetland - Low Probability,235.50,177.41
