Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-29.617755857
Wetland - High Probability,0.0,-52.395547669
Wetland - Low Probability,0.0,41.1520903412
