Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,74.35,74.35
Non Wetland,800.94,801.18
Wetland - Medium Probability,92.09,86.54
Wetland - High Probability,42.44,48.74
Wetland - Low Probability,85.27,84.27
