Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,947.46,947.49
Wetland - Medium Probability,22.13,27.37
Wetland - High Probability,1.99,6.77
Wetland - Low Probability,46.35,36.31
