Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,3.19,3.19
Non Wetland,283.33,283.33
Wetland - Medium Probability,25.96,22.21
Wetland - High Probability,2.05,5.95
Wetland - Low Probability,0.68,0.52
