Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.03,0.03
Non Wetland,493.03,493.03
Wetland - Medium Probability,13.55,13.78
Wetland - High Probability,0.97,3.83
Wetland - Low Probability,10.89,7.81
