Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.00150954463507
Non Wetland,0.0,-0.0157798948685
Wetland - Medium Probability,0.0,-9.03463631865
Wetland - High Probability,0.0,-40.1924896658
Wetland - Low Probability,0.0,19.2595897195
