Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,4128.42,4128.54
Non Wetland,47959.88,47960.15
Wetland - Medium Probability,957.32,1453.09
Wetland - High Probability,221.26,408.44
Wetland - Low Probability,1829.65,1146.32
