Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,21335.22,21335.29
Non Wetland,35850.87,35850.91
Wetland - Medium Probability,1370.83,1899.67
Wetland - High Probability,273.53,528.92
Wetland - Low Probability,2519.01,1734.66
