Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,1510.72,1510.73
Wetland - Medium Probability,37.64,48.25
Wetland - High Probability,4.18,12.22
Wetland - Low Probability,64.49,45.83
