Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.22,0.22
Non Wetland,6916.79,6917.12
Wetland - Medium Probability,121.98,135.50
Wetland - High Probability,3.66,11.02
Wetland - Low Probability,248.39,227.18
