Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.07,0.07
Non Wetland,1260.65,1260.85
Wetland - Medium Probability,29.14,26.59
Wetland - High Probability,1.29,1.97
Wetland - Low Probability,50.86,52.52
