Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,72.50,72.53
Non Wetland,824.10,824.14
Wetland - Medium Probability,68.46,74.41
Wetland - High Probability,12.41,23.98
Wetland - Low Probability,116.45,98.86
