Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,360.50,360.50
Non Wetland,996.83,996.83
Wetland - Medium Probability,41.58,64.64
Wetland - High Probability,7.38,12.73
Wetland - Low Probability,59.64,31.24
