Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,32.05,32.05
Non Wetland,702.78,702.78
Wetland - Medium Probability,27.76,37.78
Wetland - High Probability,4.53,9.99
Wetland - Low Probability,69.76,54.29
