Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-20.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-53.8972387277
Wetland - High Probability,0.0,-172.771084337
Wetland - Low Probability,0.0,28.0889742832
