Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.00121888721139
Non Wetland,0.0,-0.00313039136329
Wetland - Medium Probability,0.0,-31.9961590642
Wetland - High Probability,0.0,-78.9394743522
Wetland - Low Probability,0.0,30.6987566238
