Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,148.70,148.70
Non Wetland,1068.52,1068.53
Wetland - Medium Probability,54.71,73.20
Wetland - High Probability,25.92,43.31
Wetland - Low Probability,100.61,64.72
