Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,5.04,5.04
Non Wetland,371.87,371.92
Wetland - Medium Probability,47.61,42.62
Wetland - High Probability,30.17,36.31
Wetland - Low Probability,35.22,34.01
