Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.00944733112896
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-43.7370447142
Wetland - High Probability,0.0,-100.511322133
Wetland - Low Probability,0.0,24.6666666667
