Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,140.20,140.20
Non Wetland,4085.04,4085.15
Wetland - Medium Probability,52.37,80.31
Wetland - High Probability,7.97,18.73
Wetland - Low Probability,99.71,60.91
