Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,747.98,747.98
Wetland - Medium Probability,0.44,0.87
Wetland - High Probability,0.01,0.06
Wetland - Low Probability,1.67,1.19
