Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,57.12,57.12
Non Wetland,811.40,811.49
Wetland - Medium Probability,51.15,48.30
Wetland - High Probability,93.56,103.87
Wetland - Low Probability,60.84,53.28
