Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.23,0.23
Non Wetland,1001.22,1001.22
Wetland - Medium Probability,7.15,11.24
Wetland - High Probability,0.62,1.86
Wetland - Low Probability,15.15,9.83
