Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,888.01,888.01
Non Wetland,1776.69,1776.69
Wetland - Medium Probability,46.42,69.27
Wetland - High Probability,9.86,20.33
Wetland - Low Probability,85.88,52.57
