Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-3.21739130435
Wetland - High Probability,0.0,-116.768916155
Wetland - Low Probability,0.0,31.9224885263
