Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,12.61,12.61
Non Wetland,1544.56,1544.56
Wetland - Medium Probability,30.23,52.39
Wetland - High Probability,2.24,3.91
Wetland - Low Probability,80.46,56.63
