Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.19,0.19
Non Wetland,2234.84,2234.86
Wetland - Medium Probability,33.22,37.28
Wetland - High Probability,2.81,5.73
Wetland - Low Probability,69.45,62.45
