Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.0099514369875
Non Wetland,0.0,-0.122482628666
Wetland - Medium Probability,0.0,-0.808156160637
Wetland - High Probability,0.0,-14.9873215001
Wetland - Low Probability,0.0,4.66502260584
