Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,27.59,27.59
Non Wetland,2709.12,2709.12
Wetland - Medium Probability,148.05,187.05
Wetland - High Probability,52.56,91.41
Wetland - Low Probability,152.93,75.08
