Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,383.77,383.77
Non Wetland,2726.83,2726.83
Wetland - Medium Probability,107.03,130.91
Wetland - High Probability,43.78,72.59
Wetland - Low Probability,122.53,69.85
