Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,764.03,764.03
Wetland - Medium Probability,42.59,42.48
Wetland - High Probability,7.33,17.61
Wetland - Low Probability,33.25,23.07
