Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,282.78,282.79
Non Wetland,1031.72,1032.01
Wetland - Medium Probability,90.31,99.45
Wetland - High Probability,20.66,29.76
Wetland - Low Probability,198.56,180.01
