Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.063211125158
Non Wetland,0.0,-0.000629990707636
Wetland - Medium Probability,0.0,-50.0510933987
Wetland - High Probability,0.0,-102.039848197
Wetland - Low Probability,0.0,36.0901113095
