Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,2243.72,2243.72
Wetland - Medium Probability,18.61,32.99
Wetland - High Probability,0.16,1.48
Wetland - Low Probability,62.64,46.93
