Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,35.05,35.05
Non Wetland,2398.10,2398.10
Wetland - Medium Probability,50.56,85.80
Wetland - High Probability,6.67,15.88
Wetland - Low Probability,132.87,88.41
