Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.000894918651894
Wetland - Medium Probability,0.0,-12.2215532812
Wetland - High Probability,0.0,-103.914590747
Wetland - Low Probability,0.0,10.0791936645
