Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,235.78,235.80
Non Wetland,2681.49,2681.50
Wetland - Medium Probability,166.92,260.89
Wetland - High Probability,26.50,45.22
Wetland - Low Probability,397.74,285.03
