Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,319.08,319.08
Non Wetland,1047.32,1047.32
Wetland - Medium Probability,37.96,49.32
Wetland - High Probability,4.21,11.96
Wetland - Low Probability,115.73,96.62
