Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,9274.32,9274.46
Non Wetland,24588.25,24592.13
Wetland - Medium Probability,2021.00,2203.59
Wetland - High Probability,803.16,1125.97
Wetland - Low Probability,2645.02,2135.60
