Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,18.21,18.21
Non Wetland,936.24,936.24
Wetland - Medium Probability,38.67,44.08
Wetland - High Probability,20.35,31.33
Wetland - Low Probability,35.87,19.47
