Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,80.20,80.20
Non Wetland,528.70,528.94
Wetland - Medium Probability,42.39,47.55
Wetland - High Probability,5.46,4.72
Wetland - Low Probability,64.29,59.63
