Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,60.69,60.69
Non Wetland,2233.84,2233.84
Wetland - Medium Probability,40.33,51.28
Wetland - High Probability,8.18,19.99
Wetland - Low Probability,67.59,44.82
