Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,357.05,357.05
Wetland - Medium Probability,0.16,0.17
Wetland - High Probability,0.01,0.04
Wetland - Low Probability,0.17,0.13
