Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00168087708166
Wetland - Medium Probability,0.0,-81.054247697
Wetland - High Probability,0.0,-1414.28571429
Wetland - Low Probability,0.0,32.1906169191
