Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.000400486992173
Wetland - Medium Probability,0.0,-33.0304549442
Wetland - High Probability,0.0,-471.684587814
Wetland - Low Probability,0.0,23.0831202494
