Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,59.56,59.57
Non Wetland,4454.55,4454.55
Wetland - Medium Probability,40.25,53.15
Wetland - High Probability,13.02,20.89
Wetland - Low Probability,62.21,41.41
